title,id,release_date,duration,genre_count,genre,rating,keywords,language,budget,revenue,url
Death Wish,395990,3/2/2018,1h 47m,4,"Action,Crime,Drama,Thriller",61,14,English,"30,000,000.00","34,017,028.00",https://www.themoviedb.org/movie/395990
Van Helsing,7131,5/5/2004,2h 12m,3,"Horror,Adventure,Action",63,12,English,"160,000,000.00","300,257,475.00",https://www.themoviedb.org/movie/7131
Sanak,790019,10/15/2021,1h 57m,2,"Action,Thriller",68,0,Hindi, NaN, NaN,https://www.themoviedb.org/movie/790019
Friday the 13th Part III,9728,8/13/1982,1h 35m,1,Horror,58,17,English,"4,000,000.00","36,690,067.00",https://www.themoviedb.org/movie/9728
The SpongeBob Movie: Sponge Out of Water,228165,1/28/2015,1h 32m,5,"Family,Adventure,Comedy,Fantasy,Animation",60,4,English,"74,000,000.00","311,594,032.00",https://www.themoviedb.org/movie/228165
Nomadland,581734,1/29/2021,1h 48m,1,Drama,73,11,English,"5,000,000.00","14,784,114.00",https://www.themoviedb.org/movie/581734
The Mitchells vs. the Machines,501929,4/22/2021,1h 54m,6,"Animation,Adventure,Comedy,Family,Science Fiction,Action",81,5,English, NaN, NaN,https://www.themoviedb.org/movie/501929
Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,401043,9/3/2016,1h 30m,1,Animation,68,5,Japanese, NaN, NaN,https://www.themoviedb.org/movie/401043
Ready or Not,567609,8/21/2019,1h 35m,3,"Horror,Thriller,Comedy",70,12,English,"6,000,000.00","57,615,777.00",https://www.themoviedb.org/movie/567609
The Salvation,266285,5/22/2014,1h 32m,2,"Drama,Western",64,14,Danish,"10,500,000.00","1,363,964.00",https://www.themoviedb.org/movie/266285
Kingsglaive: Final Fantasy XV,390734,7/9/2016,1h 55m,3,"Animation,Science Fiction,Action",68,4,Japanese, NaN,"269,980.00",https://www.themoviedb.org/movie/390734
